cuisine,location,headline,menu_url,file_path
American (New), West Village, Perry Street,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/27429-PerryStreet-menu.pdf,menu_urls/perry-street.pdf
American (New), Garment District, Harta,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/47823-Harta-menu.pdf,menu_urls/harta.pdf
French, Upper West Side, La Sirene UWS,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/40695-LaSireneUWS-menu.pdf,menu_urls/la-sirene-uws.pdf
Italian, Herald Square, Stella 34 Trattoria,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/37733-Stella34Trattoria-menu.pdf,menu_urls/stella-34-trattoria.pdf
Steakhouse, Upper East Side, BLT Prime,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/27561-BLTPrime-menu.pdf,menu_urls/blt-prime.pdf
Thai, Upper West Side, Wau,,
Japanese / Sushi, Midtown East, Soba Totto,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46449-SobaTotto-menu.pdf,menu_urls/soba-totto.pdf
Steakhouse, Midtown East, Tudor City Steakhouse,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/40202-TudorCitySteakhouse-menu.pdf,menu_urls/tudor-city-steakhouse.pdf
Italian, Hudson Square, Nonna Beppa,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/40766-NonnaBeppa-menu.pdf,menu_urls/nonna-beppa.pdf
Thai, Flushing, When in Bangkok,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46446-WheninBangkok-menu.pdf,menu_urls/when-in-bangkok.pdf
American (Traditional), Upper East Side, Dowling’s at The Carlyle,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/23240-Dowling%E2%80%99satTheCarlyle-menu.pdf,menu_urls/dowlings-at-the-carlyle.pdf
Italian, Gramercy, Vallata,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46368-Vallata-menu.pdf,menu_urls/vallata.pdf
Spanish, Nolita, Socarrat Paella Bar - Nolita,,
Italian, Gramercy, Isabelle's Osteria,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/40038-Isabelle%27sOsteria-menu.pdf,menu_urls/isabelles-osteria.pdf
